name,codes,lat,lng,opening_year,type
Eunos,EW7,1.3197782848869900,103.90325213335900,1989,mrt
Chinese Garden,EW25,1.3423521542087500,103.73259640485400,1988,mrt
Khatib,NS14,1.4173827034869300,103.8329795744050,1988,mrt
Kranji,NS7,1.4251770321043900,103.76216507762200,1996,mrt
Redhill,EW18,1.2895620597351800,103.81681633682100,1988,mrt
Yew Tee,NS5,1.397534351127440,103.74740478088700,1996,mrt
Pioneer,EW28,1.3375862155395900,103.69732117985000,2009,mrt
Commonwealth,EW20,1.3024380686600600,103.79830418230900,1988,mrt
Paya Lebar,EW8/CC9,1.3177705084692300,103.89261926699400,1989,mrt
Simei,EW3,1.3432022282651800,103.95337136066400,1989,mrt
Tampines,EW2/DT32,1.3541887260035000,103.94410425957500,1989,mrt
Admiralty,NS10,1.4405843344190300,103.80098766749200,1996,mrt
Yishun,NS13,1.4294424141442500,103.83500471286100,1988,mrt
Pasir Ris,EW1,1.3729831069140000,103.94926778474300,1989,mrt
Clementi,EW23,1.3149538257568900,103.76529854103700,1988,mrt
Aljunied,EW9,1.316431944990920,103.8829057113040,1989,mrt
Ang Mo Kio,NS16/NS16,1.3696395728466700,103.849745229326,1987,mrt
Expo,CG1/DT35,1.3349652909203000,103.96196162553300,2001,mrt
Choa Chu Kang,NS4,1.3853610261628200,103.74434061293700,1990,mrt
Jurong East,EW24/NS1,1.3331519532278300,103.7422862107590,1988,mrt
Queenstown,EW19,1.2948602661277900,103.8058840005680,1988,mrt
Tuas Link,EW33,1.3404630989851100,103.6368783457050,2017,mrt
Gul Circle,EW30,1.319504548274110,103.66055262304000,2017,mrt
Woodlands,NS9/TE2,1.4364703880855200,103.78720763767300,1996,mrt
Tuas Crescent,EW31,1.321025886578590,103.64907514553500,2017,mrt
Kallang,EW10,1.3114882429751200,103.87138620801200,1989,mrt
Tuas West Road,EW32,1.329988422385880,103.63961372335000,2017,mrt
Buona Vista,EW21/CC22,1.3068369011605300,103.79042213929700,1988,mrt
Dover,EW22,1.3114046262584200,103.77863750833300,2001,mrt
